#,Player,Team,Mat,Inns,Overs,Runs,Wkts,BBF,Mdns,dots,Econ,Avg,SR,Hat-trick,4w,5w,Wides,Nb
165,Elton Tucker Jr,Ft. Lauderdale Lions,4,1,1.4,1,2, 1/ 2,0,10,0.60,0.50,5,0,0,0,1,0
166,Jaydev Patel,New Jersey Stallions,2,2,6,19,2, 7/ 1,0,27,3.17,9.50,18,0,0,0,1,0
167,Ansh Patel,Atlanta Fire,1,1,4,17,2, 17/ 2,0,12,4.25,8.50,12,0,0,0,0,0
168,Jasdeep Singh,New Jersey Stallions,1,1,4,18,2, 18/ 2,0,17,4.50,9.00,12,0,0,0,6,0
169,Neil Narvekar,Baltimore Royals,1,1,4,18,2, 18/ 2,0,11,4.50,9.00,12,0,0,0,1,0
170,Neive Mcnally,Atlanta Lightning,1,1,4,19,2, 19/ 2,0,10,4.75,9.50,12,0,0,0,0,0
171,Saad Bin Zafar,New Jersey Somerset Cavaliers,3,3,9.1,45,2, 7/ 1,0,34,4.91,22.50,27.5,0,0,0,0,0
172,Harmeet Singh,Dallas Xforia Giants,2,2,8,41,2, 23/ 2,0,18,5.12,20.50,24,0,0,0,1,0
173,Chandrapaul Hemraj,New Jersey Somerset Cavaliers,11,7,14,75,2, 3/ 1,0,41,5.36,37.50,42,0,0,0,1,0
174,Usman Shinwari,Houston Hurricanes,4,4,13,73,2, 22/ 1,1,46,5.62,36.50,39,0,0,0,3,0
175,Ashish Vattem,The Philadelphians,6,3,6,34,2, 22/ 2,0,16,5.67,17.00,18,0,0,0,2,0
176,Waleed Karimullah,New Jersey Somerset Cavaliers,1,1,3,18,2, 18/ 2,0,9,6.00,9.00,9,0,0,0,1,0
177,Kevin Stoute,Ft. Lauderdale Lions,1,1,3,18,2, 18/ 2,0,9,6.00,9.00,9,0,0,0,1,0
178,Sanchit Sandhu,Houston Hurricanes,5,5,17,106,2, 16/ 1,0,45,6.24,53.00,51,0,0,0,6,0
179,Steven Taylor,Atlanta Fire,5,5,15,95,2, 16/ 1,0,43,6.33,47.50,45,0,0,0,2,0
180,Pratik Desai,San Diego Surf Riders,2,2,6,39,2, 19/ 1,0,11,6.50,19.50,18,0,0,0,0,0
181,Ateendra Subramanian,Atlanta Fire,5,4,11,72,2, 21/ 1,0,26,6.55,36.00,33,0,0,0,2,0
182,Sharad Lumba,Baltimore Royals,7,4,10.2,68,2, 18/ 1,0,28,6.58,34.00,31,0,0,0,4,0
183,Dhruv Pawar,Manhattan Yorkers,4,4,10,66,2, 13/ 1,0,26,6.60,33.00,30,0,0,0,1,0
184,Irfan Nasim,New England Eagles,2,2,6,40,2, 16/ 2,0,18,6.67,20.00,18,0,0,0,0,0
185,Abdur Rehman,NYC Titans,3,3,7,47,2, 17/ 2,0,18,6.71,23.50,21,0,0,0,0,0
186,Sivaram Chowdary,The Philadelphians,5,5,11,74,2, 8/ 1,0,36,6.73,37.00,33,0,0,0,0,0
187,Keon Joseph,Morrisville Raptors,7,7,20,138,2, 16/ 1,0,60,6.90,69.00,60,0,0,0,3,2
188,Mohammad Mohsin,Baltimore Royals,5,5,19,132,2, 19/ 1,0,52,6.95,66.00,57,0,0,0,2,0
189,Sushant Modani,Michigan Cricket Stars,3,1,4,28,2, 28/ 2,0,6,7.00,14.00,12,0,0,0,1,0
190,Yevin Goonatilake,Baltimore Royals,2,1,1,7,2, 7/ 2,0,4,7.00,3.50,3,0,0,0,0,0
191,Akhilesh Bodugum,Houston Hurricanes,3,3,7,51,2, 24/ 2,0,12,7.29,25.50,21,0,0,0,0,0
192,Adnan Haroon,New Jersey Somerset Cavaliers,1,1,3,22,2, 22/ 2,0,5,7.33,11.00,9,0,0,0,3,0
193,Raj Vyas,Chicago Tigers,1,1,4,30,2, 30/ 2,0,12,7.50,15.00,12,0,0,0,0,0
194,Rahul Nama,Seattle Thunderbolts,6,6,13,99,2, 22/ 2,0,25,7.62,49.50,39,0,0,0,1,0
195,Aarin Nadkarni,Lone Star Athletics,3,3,9.4,74,2, 13/ 1,0,19,7.66,37.00,29,0,0,0,6,0
196,Zahid Zakhil,St. Louis Americans,7,4,10,78,2, 20/ 2,0,16,7.80,39.00,30,0,0,0,0,0
197,Devam Shrivastava,San Diego Surf Riders,4,4,14,111,2, 37/ 1,0,40,7.93,55.50,42,0,0,0,6,1
198,Harpreet Singh,Los Angeles Lashings,8,3,6,48,2, 9/ 1,0,10,8.00,24.00,18,0,0,0,1,0
199,Neeraj Goel,Los Angeles Lashings,4,4,14.3,117,2, 17/ 1,0,41,8.07,58.50,43.5,0,0,0,9,0
200,Milind Kumar,Lone Star Athletics,2,2,7,60,2, 44/ 2,0,12,8.57,30.00,21,0,0,0,5,0
