#,Player,Team,Mat,Inns,Overs,Runs,Wkts,BBF,Mdns,dots,Econ,Avg,SR,Hat-trick,4w,5w,Wides,Nb
1,Gayan Fernando,San Diego Surf Riders,10,10,36.5,221,25, 21/ 4,1,106,6.00,8.84,8.8,0,2,0,8,2
2,Corne Dry,Atlanta Fire,13,13,47.3,302,25, 18/ 5,3,172,6.36,12.08,11.4,0,0,1,13,1
3,Kevin Stoute,Ft. Lauderdale Lions,10,10,33,231,22, 16/ 5,0,75,7.00,10.50,9,0,1,1,41,1
4,Srinivas Raghavan,Silicon Valley Strikers,13,13,51.1,296,21, 32/ 4,1,155,5.79,14.10,14.6,0,1,0,7,0
5,Phani Simhadri,Atlanta Lightning,11,11,39.5,213,19, 19/ 4,0,114,5.35,11.21,12.6,0,1,0,10,0
6,Junaid Nadir Mahsood,New Jersey Somerset Cavaliers,12,12,33.4,208,19, 22/ 4,2,116,6.18,10.95,10.6,0,1,0,20,5
7,Sanjay Krishnamurthi,East Bay Blazers,12,12,45,293,19, 16/ 3,0,134,6.51,15.42,14.2,0,0,0,10,0
8,Nosthush Kenjige,Dallas Mustangs,14,14,48.3,321,19, 16/ 4,1,122,6.62,16.89,15.3,0,1,0,4,0
9,Saurabh Netravalkar,Silicon Valley Strikers,13,13,51.2,281,18, 11/ 4,3,161,5.47,15.61,17.1,1,1,0,10,1
10,Vatsal Vaghela,Golden State Grizzlies,11,11,38,249,18, 15/ 3,1,94,6.55,13.83,12.7,0,0,0,2,1
11,SARBJEET LADDA,Baltimore Royals,9,9,32,187,17, 8/ 5,1,97,5.84,11.00,11.3,1,1,1,6,0
12,Shubham Ranjane,Lone Star Athletics,12,12,47,328,17, 14/ 3,1,118,6.98,19.29,16.6,0,0,0,4,0
13,Sumit Sehrawat,Orlando Galaxy,9,9,31,238,17, 20/ 5,0,88,7.68,14.00,10.9,0,1,1,19,0
14,Rushil Ugarkar,Dallas Mustangs,10,9,29.2,259,17, 27/ 5,0,70,8.83,15.24,10.4,0,0,1,2,1
15,Amila Aponso,Atlanta Fire,13,12,46,219,16, 9/ 4,5,165,4.76,13.69,17.2,0,1,0,5,0
16,Sunny Patel,New Jersey Somerset Cavaliers,14,14,46.5,272,16, 25/ 4,1,147,5.81,17.00,17.6,0,1,0,8,0
17,Pawan Suyal,Lone Star Athletics,9,9,31.4,224,16, 15/ 4,0,93,7.07,14.00,11.9,0,1,0,27,6
18,Gajanand Singh,New Jersey Somerset Cavaliers,13,12,25,128,15, 14/ 4,3,90,5.12,8.53,10,0,1,0,9,3
19,Pranay Suri,Silicon Valley Strikers,13,13,44,297,15, 15/ 3,0,105,6.75,19.80,17.6,0,0,0,5,0
20,Zia Muhammad Shahzad,Golden State Grizzlies,11,11,37.2,276,15, 18/ 5,1,86,7.39,18.40,14.9,0,0,1,3,1
21,Saad Bin Zafar,New Jersey Somerset Cavaliers,9,9,33,126,14, 4/ 3,4,127,3.82,9.00,14.1,0,0,0,5,0
22,Stephen Wiig,New Jersey Stallions,11,11,36,186,14, 10/ 3,2,122,5.17,13.29,15.4,0,0,0,15,0
23,Deveshwari Prashad,The Philadelphians,10,8,25.5,138,14, 21/ 5,0,71,5.34,9.86,11.1,0,1,1,4,0
24,Rumman Raees,Dallas Mustangs,12,12,37,204,14, 4/ 3,1,127,5.51,14.57,15.9,0,0,0,14,0
25,Ayan Desai,Los Angeles Lashings,10,10,37,213,14, 12/ 2,0,108,5.76,15.21,15.9,0,0,0,8,0
26,Zeeshan Maqsood,Michigan Cricket Stars,10,10,29.4,176,14, 10/ 5,1,84,5.93,12.57,12.7,0,0,1,5,1
27,Rahul Nama,Seattle Thunderbolts,10,10,31.4,189,14, 20/ 4,1,87,5.97,13.50,13.6,0,1,0,6,0
28,Karima Gore,New Jersey Somerset Cavaliers,9,9,31.1,116,13, 10/ 4,3,122,3.72,8.92,14.4,0,1,0,10,0
29,Raj Nannan,The Philadelphians,10,10,34,146,13, 3/ 3,4,132,4.29,11.23,15.7,0,0,0,10,0
30,Neive Mcnally,Atlanta Lightning,8,8,28,156,13, 6/ 3,2,91,5.57,12.00,12.9,0,0,0,6,0
31,Vinit Tagarse,Ft. Lauderdale Lions,9,9,26,182,13, 23/ 5,1,88,7.00,14.00,12,0,0,1,32,4
32,Muhammad Kamal,Michigan Cricket Stars,10,10,30.3,228,13, 24/ 4,0,86,7.48,17.54,14.1,0,1,0,8,0
33,Pankaj Kumar Rao,Atlanta Lightning,13,13,42,328,13, 15/ 2,0,124,7.81,25.23,19.4,0,0,0,28,0
34,Hammad Azam,Dallas Mustangs,14,10,31,154,12, 3/ 2,2,105,4.97,12.83,15.5,0,0,0,3,1
35,Derone Davis,New Jersey Stallions,10,8,25.5,143,12, 12/ 3,3,84,5.54,11.92,12.9,0,0,0,8,0
36,Hussain Talat,Atlanta Lightning,8,8,27,161,12, 23/ 4,2,95,5.96,13.42,13.5,0,1,0,19,2
37,Angelo Perera,East Bay Blazers,9,9,31,187,12, 13/ 3,0,79,6.03,15.58,15.5,0,0,0,6,0
38,Harish Kakani,Golden State Grizzlies,11,11,40.4,273,12, 15/ 3,1,93,6.71,22.75,20.3,0,0,0,16,0
39,Gourav Grover,New England Eagles,8,8,28,96,11, 16/ 4,4,112,3.43,8.73,15.3,0,1,0,4,2
40,Sachin Mylavarapu,New Jersey Stallions,11,11,38,178,11, 9/ 2,0,134,4.68,16.18,20.7,0,0,0,7,0
41,Manoj Acharya,Manhattan Yorkers,9,9,33.2,157,11, 10/ 2,3,124,4.71,14.27,18.2,0,0,0,6,2
42,Hassan Khan,Chicago Kingsmen,7,7,28,137,11, 30/ 3,2,92,4.89,12.45,15.3,0,0,0,1,0
43,Javon Searles,Empire State Titans,7,7,24.2,125,11, 16/ 3,2,75,5.14,11.36,13.3,0,0,0,6,0
44,Neeraj Goel,Golden State Grizzlies,10,10,40,214,11, 18/ 3,1,122,5.35,19.45,21.8,0,0,0,15,0
45,Siva Kumar Duvvarapu,Seattle Thunderbolts,9,9,28.4,161,11, 18/ 4,1,95,5.62,14.64,15.6,0,1,0,4,1
46,Carmi Le Roux,East Bay Blazers,5,5,20,114,11, 13/ 4,0,63,5.70,10.36,10.9,0,1,0,13,1
47,Shan Tennakoon,Empire State Titans,7,6,22,132,11, 11/ 3,0,70,6.00,12.00,12,0,0,0,5,0
48,Ehsan Adil,Dallas Mustangs,11,10,35.5,215,11, 12/ 2,2,127,6.00,19.55,19.5,0,0,0,19,1
49,Harmeet Singh,Dallas Xforia Giants,11,10,39,244,11, 13/ 3,0,90,6.26,22.18,21.3,0,0,0,5,2
50,Jeremy Gordon,Atlanta Fire,9,9,31,196,11, 22/ 3,0,105,6.32,17.82,16.9,0,0,0,14,3
51,Usman Rafiq,Houston Hurricanes,10,10,32.5,236,11, 22/ 4,0,80,7.19,21.45,17.9,0,1,0,5,0
52,Rusty Theron,East Bay Blazers,10,10,39.5,288,11, 22/ 2,0,105,7.23,26.18,21.7,0,0,0,10,2
53,Elmore Hutchinson,Los Angeles Lashings,10,10,35,277,11, 28/ 3,0,88,7.91,25.18,19.1,0,0,0,13,0
54,Nisarg Desai,Manhattan Yorkers,9,9,30,139,10, 10/ 3,1,111,4.63,13.90,18,0,0,0,1,0
55,Md Nasir Hossain,Atlanta Fire,13,11,34,175,10, 14/ 3,2,116,5.15,17.50,20.4,0,0,0,5,0
56,Junaid Siddiqui,Atlanta Lightning,11,11,38.1,203,10, 19/ 3,0,104,5.32,20.30,22.9,0,0,0,0,0
57,Mir Hamza,Chicago Kingsmen,3,3,12,64,10, 15/ 4,0,41,5.33,6.40,7.2,0,2,0,3,1
58,Nikhil Dutta,San Diego Surf Riders,9,9,32.5,181,10, 19/ 4,0,86,5.51,18.10,19.7,0,1,0,3,0
59,Jasdeep Singh,New Jersey Stallions,11,11,37.5,216,10, 24/ 3,0,124,5.71,21.60,22.7,0,0,0,15,1
60,Haseeb Azam,Chicago Kingsmen,4,4,16,93,10, 33/ 4,1,55,5.81,9.30,9.6,0,1,0,12,0
61,Usman Shinwari,Houston Hurricanes,8,8,30,191,10, 24/ 3,0,86,6.37,19.10,18,0,0,0,10,0
62,Calvin Savage,Chicago Tigers,7,6,23,148,10, 26/ 3,0,63,6.43,14.80,13.8,0,0,0,19,0
