#,Player,Team,Mat,Inns,NO,Runs,4's,6's,50's,100's,HS,SR,Avg
150,Raj Bhavsar,Manhattan Yorkers,6,6,1,58,6,1,0,0,21,75.32,11.60
151,Hassan Khan,Chicago Kingsmen,6,5,0,57,6,3,1,0,50,167.65,11.40
152,Nikhil Kanchan,Michigan Cricket Stars,6,6,1,56,4,3,0,0,30,105.66,11.20
153,Angad Singh,St. Louis Americans,5,4,1,56,2,1,0,0,28,86.15,18.67
154,Siddarth Kappa,Manhattan Yorkers,6,6,0,56,6,0,0,0,22,84.85,9.33
155,Benjamin Fredeman Calitz,Atlanta Fire,5,4,0,55,4,2,0,0,28,87.30,13.75
156,Md Shaif Uddin,Atlanta Fire,5,5,1,54,3,4,0,0,32,138.46,13.50
157,Rishab Mohan,Seattle Thunderbolts,9,8,5,54,6,1,0,0,24,125.58,18.00
158,Deveshwari Prashad,The Philadelphians,8,5,2,54,2,4,0,0,27,96.43,18.00
159,Ryan Shun,NYC Titans,5,5,0,54,7,2,0,0,21,78.26,10.80
160,Sagar Patel,Atlanta Lightning,6,6,0,54,2,0,0,0,28,53.47,9.00
161,Nithin Kumar Kanduri,Silicon Valley Strikers,7,3,0,53,5,4,1,0,53,212.00,17.67
162,Abhiram Bolisetty,Morrisville Raptors,6,5,2,53,5,2,0,0,18,170.97,17.67
163,Saad Humayun,Michigan Cricket Stars,5,4,1,53,4,2,0,0,28,106.00,17.67
164,Joshua Kind,St. Louis Americans,3,2,0,53,2,3,0,0,40,101.92,26.50
165,Yasir Mohammad,Manhattan Yorkers,4,4,0,53,4,3,0,0,25,96.36,13.25
166,Sanjay Stanley,Morrisville Raptors,5,4,1,53,2,2,0,0,42,76.81,17.67
167,Raunaq Sharma,Baltimore Royals,5,5,3,52,2,3,0,0,35,98.11,26.00
168,Chad Breetzke,San Diego Surf Riders,2,2,0,51,1,2,0,0,34,89.47,25.50
169,Ashish Vattem,The Philadelphians,6,6,1,51,4,3,0,0,27,79.69,10.20
170,Anirudh Immanuel,New Jersey Stallions,8,5,1,50,5,1,0,0,30,106.38,12.50
171,Kiran Kumar Reddy Vade,Michigan Cricket Stars,1,1,1,49,3,4,0,0,49,175.00,--
172,Shuaib Syed,Orlando Galaxy,3,3,0,49,2,5,0,0,41,132.43,16.33
173,Abhayjit Khangura,Manhattan Yorkers,4,2,1,48,2,4,0,0,28,129.73,48.00
174,Hardik Desai,Orlando Galaxy,3,3,1,48,4,0,0,0,26,109.09,24.00
175,Unmukt Chand,Atlanta Lightning,4,4,0,48,2,2,0,0,19,100.00,12.00
176,Chaithanya Kumar Chava,Atlanta Lightning,4,4,3,47,3,4,0,0,25,174.07,47.00
177,Corne Dry,Atlanta Fire,8,7,3,47,4,2,0,0,17,134.29,11.75
178,Ishan Sharma,Manhattan Yorkers,3,3,1,47,3,3,0,0,37,127.03,23.50
179,Rahul Basu,Chicago Tigers,4,4,0,47,3,1,0,0,23,97.92,11.75
180,Manav Nayak,Golden State Grizzlies,3,3,0,46,4,3,0,0,27,115.00,15.33
181,Vijay Balagopala,Orlando Galaxy,3,3,0,46,6,1,0,0,20,90.20,15.33
182,Vedant Jain,Los Angeles Lashings,6,4,1,45,2,2,0,0,25,128.57,15.00
183,Dimitri Adams,Orlando Galaxy,3,3,0,45,2,3,0,0,38,100.00,15.00
184,Shreyas Chitneni,Seattle Thunderbolts,4,3,0,45,3,0,0,0,25,80.36,15.00
185,Muhammad Zaid Alam,Baltimore Royals,8,4,2,43,4,1,0,0,40,122.86,21.50
186,Jaskaran Singh Buttar,Baltimore Royals,5,4,0,42,3,3,0,0,13,123.53,10.50
187,Rishi Ramesh,Baltimore Royals,3,1,0,42,3,2,0,0,42,113.51,42.00
188,Vandit Prajapati,New England Eagles,5,5,0,42,0,3,0,0,15,85.71,8.40
189,Talha Mumtaz,New England Eagles,3,3,0,42,3,0,0,0,24,80.77,14.00
190,Irfan Nasim,New England Eagles,2,2,0,41,5,3,0,0,39,195.24,20.50
191,Anwar Ali Khan,Chicago Kingsmen,11,7,4,41,3,1,0,0,12,146.43,13.67
192,Ali Sheikh,Houston Hurricanes,5,5,0,41,3,0,0,0,32,91.11,8.20
193,Adnesh Tondale,Golden State Grizzlies,7,7,4,41,2,1,0,0,21,87.23,13.67
194,Pranav Rao,New England Eagles,4,4,1,41,3,1,0,0,18,69.49,13.67
195,Satvik Addala,NYC Titans,2,2,0,41,2,1,0,0,29,58.57,20.50
196,Muned Ahmed,Michigan Cricket Stars,5,4,0,40,1,4,0,0,25,133.33,10.00
197,Dino Chooweenam,Ft. Lauderdale Lions,2,2,0,40,3,3,0,0,35,80.00,20.00
198,Srimantha Wijeratne,Morrisville Raptors,3,3,0,39,2,2,0,0,22,100.00,13.00
199,Abdullah Ghazi,New Jersey Somerset Cavaliers,6,4,2,38,3,2,0,0,16,146.15,19.00
200,Noman Iftikhar,New England Eagles,8,8,3,38,1,3,0,0,13,97.44,7.60
